directory => accepted comment count   Unaccepted comment count
File   net/6lowpan/nhc_ghc_icmpv6.c => 0    0
File   net/6lowpan/nhc_ghc_ext_dest.c => 0    0
File   net/6lowpan/6lowpan_i.h => 0    0
File   net/6lowpan/nhc_ghc_ext_route.c => 0    0
File   net/6lowpan/nhc_ipv6.c => 0    0
  net/6lowpan => 11    0
File   net/unix/garbage.c => 0    0
File   net/unix/Makefile => 0    0
File   net/unix/Kconfig => 0    0
File   net/unix/scm.h => 0    0
File   net/unix/diag.c => 0    1
File   net/unix/sysctl_net_unix.c => 0    0
File   net/unix/scm.c => 0    2
File   net/unix/af_unix.c => 1    16
  net/unix => 1    19
File   net/ife/Makefile => 0    0
File   net/ife/ife.c => 1    0
File   net/ife/Kconfig => 0    0
  net/ife => 1    0
File   net/Kconfig => 0    0
File   net/lapb/lapb_out.c => 0    4
File   net/lapb/Makefile => 0    0
File   net/lapb/Kconfig => 0    0
File   net/lapb/lapb_iface.c => 0    4
File   net/lapb/lapb_timer.c => 0    5
File   net/lapb/lapb_in.c => 0    7
File   net/lapb/lapb_subr.c => 0    14
  net/lapb => 0    34
File   net/nfc/core.c => 15    0
File   net/nfc/nci/core.c => 5    0
File   net/nfc/nci/data.c => 0    0
File   net/nfc/nci/ntf.c => 0    0
File   net/nfc/nci/rsp.c => 0    0
File   net/nfc/nci/Makefile => 0    0
File   net/nfc/nci/uart.c => 5    0
File   net/nfc/nci/Kconfig => 0    0
File   net/nfc/nci/lib.c => 0    0
File   net/nfc/nci/hci.c => 0    0
File   net/nfc/nci/spi.c => 2    0
  net/nfc/nci => 12    0
File   net/nfc/Makefile => 0    0
File   net/nfc/af_nfc.c => 0    0
File   net/nfc/netlink.c => 2    0
File   net/nfc/Kconfig => 0    0
File   net/nfc/digital_technology.c => 0    2
File   net/nfc/nfc.h => 0    0
File   net/nfc/digital_dep.c => 0    0
File   net/nfc/digital.h => 0    0
File   net/nfc/llcp_sock.c => 0    0
File   net/nfc/llcp_core.c => 0    4
File   net/nfc/llcp_commands.c => 0    0
File   net/nfc/llcp.h => 0    0
File   net/nfc/digital_core.c => 1    0
File   net/nfc/hci/core.c => 0    1
File   net/nfc/hci/Makefile => 0    0
File   net/nfc/hci/Kconfig => 0    0
File   net/nfc/hci/command.c => 0    2
File   net/nfc/hci/hci.h => 0    0
File   net/nfc/hci/llc_shdlc.c => 0    7
File   net/nfc/hci/llc_nop.c => 0    0
File   net/nfc/hci/llc.c => 0    0
File   net/nfc/hci/hcp.c => 0    2
File   net/nfc/hci/llc.h => 0    0
  net/nfc/hci => 0    12
File   net/nfc/rawsock.c => 0    0
  net/nfc => 18    6
File   net/decnet/Makefile => 0    0
File   net/decnet/dn_rules.c => 0    0
File   net/decnet/dn_nsp_out.c => 3    14
File   net/decnet/Kconfig => 0    0
File   net/decnet/dn_table.c => 0    0
File   net/decnet/dn_route.c => 4    21
File   net/decnet/dn_fib.c => 0    1
File   net/decnet/netfilter/Makefile => 0    0
File   net/decnet/netfilter/Kconfig => 0    0
File   net/decnet/netfilter/dn_rtmsg.c => 0    0
  net/decnet/netfilter => 0    0
File   net/decnet/TODO => 0    0
File   net/decnet/dn_timer.c => 0    3
